Hora,Usuario,Seguidores,Tweets,Following
2025-07-15 11:18:53,@bbva_peru,292224,69903,75
2025-07-15 12:43:00,@bbva_peru,292232,69903,75
2025-07-15 13:36:58,@bbva_peru,292232,69903,75
2025-07-15 14:19:52,@bbva_peru,292232,69904,75
2025-07-15 15:21:00,@bbva_peru,292233,69904,75
2025-07-15 16:27:31,@bbva_peru,292234,69904,75
2025-07-15 17:19:10,@bbva_peru,292233,69904,75
2025-07-15 18:31:34,@bbva_peru,292231,69904,75
2025-07-15 19:18:06,@bbva_peru,292231,69904,75
2025-07-15 20:23:57,@bbva_peru,292228,69905,75
2025-07-15 23:19:43,@bbva_peru,292226,69905,75
2025-07-16 01:46:00,@bbva_peru,292224,69905,75
2025-07-16 03:28:04,@bbva_peru,292225,69905,75
2025-07-16 04:38:32,@bbva_peru,292227,69905,75
2025-07-16 05:26:07,@bbva_peru,292227,69905,75
2025-07-16 06:31:57,@bbva_peru,292232,69905,75
2025-07-16 07:22:09,@bbva_peru,292232,69905,75
2025-07-16 08:29:00,@bbva_peru,292229,69905,75
2025-07-16 09:26:33,@bbva_peru,292229,69905,75
2025-07-16 10:23:08,@bbva_peru,292230,69905,75
2025-07-16 12:43:32,@bbva_peru,292230,69905,75
2025-07-16 14:19:50,@bbva_peru,292230,69905,75
2025-07-16 15:23:56,@bbva_peru,292239,69906,75
2025-07-16 16:28:13,@bbva_peru,292239,69906,75
2025-07-16 17:20:50,@bbva_peru,292239,69906,75
2025-07-16 18:30:47,@bbva_peru,292242,69906,75
2025-07-16 19:18:00,@bbva_peru,292240,69906,75
2025-07-16 21:20:38,@bbva_peru,292242,69906,75
2025-07-16 22:20:26,@bbva_peru,292242,69906,75
2025-07-16 23:20:19,@bbva_peru,292241,69908,75
2025-07-17 01:46:45,@bbva_peru,292239,69910,75
2025-07-17 04:38:03,@bbva_peru,292250,69910,75
2025-07-17 05:25:24,@bbva_peru,292253,69910,75
2025-07-17 06:31:53,@bbva_peru,292255,69910,75
2025-07-17 07:22:24,@bbva_peru,292253,69910,75
2025-07-17 08:28:56,@bbva_peru,292254,69910,75
2025-07-17 09:25:19,@bbva_peru,292252,69910,75
2025-07-17 10:23:56,@bbva_peru,292252,69910,75
2025-07-17 11:19:25,@bbva_peru,292249,69910,75
2025-07-17 12:42:47,@bbva_peru,292249,69910,75
2025-07-17 13:37:25,@bbva_peru,292250,69910,75
2025-07-17 14:19:46,@bbva_peru,292250,69910,75
2025-07-17 15:23:28,@bbva_peru,292252,69910,75
2025-07-17 16:27:19,@bbva_peru,292257,69917,75
2025-07-17 18:31:04,@bbva_peru,292280,69939,75
2025-07-17 19:18:20,@bbva_peru,292284,69942,75
2025-07-17 20:23:23,@bbva_peru,292283,69945,75
2025-07-17 21:20:10,@bbva_peru,292285,69945,75
2025-07-17 22:20:45,@bbva_peru,292288,69949,75
2025-07-17 23:21:01,@bbva_peru,292288,69948,75
2025-07-18 01:48:05,@bbva_peru,292294,69948,75
2025-07-18 03:38:18,@bbva_peru,292298,69949,75
2025-07-18 04:39:32,@bbva_peru,292294,69950,75
2025-07-18 05:26:32,@bbva_peru,292296,69950,75
2025-07-18 06:31:49,@bbva_peru,292294,69950,75
2025-07-18 07:23:32,@bbva_peru,292294,69950,75
2025-07-18 09:25:28,@bbva_peru,292287,69950,75
